,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
OXR1,ENSG00000164830,Gene Expression,GRCh38,1066,1269.0,OXR1,1066
NACA2,ENSG00000253506,Gene Expression,GRCh38,23,23.0,NACA2,23
JPH2,ENSG00000149596,Gene Expression,GRCh38,50,51.0,JPH2,50
CD164L2,ENSG00000174950,Gene Expression,GRCh38,4,4.0,CD164L2,4
SLC25A4,ENSG00000151729,Gene Expression,GRCh38,1986,3002.0,SLC25A4,1986
AC013553.4,ENSG00000278737,Gene Expression,GRCh38,13,14.0,AC013553.4,13
INSL6,ENSG00000120210,Gene Expression,GRCh38,35,35.0,INSL6,35
TSR1,ENSG00000167721,Gene Expression,GRCh38,878,1019.0,TSR1,878
KCNS1,ENSG00000124134,Gene Expression,GRCh38,16,18.0,KCNS1,16
EIF1AD,ENSG00000175376,Gene Expression,GRCh38,628,692.0,EIF1AD,628
NQO1,ENSG00000181019,Gene Expression,GRCh38,761,1359.0,NQO1,761
RAPH1,ENSG00000173166,Gene Expression,GRCh38,909,1078.0,RAPH1,909
AC011446.1,ENSG00000267512,Gene Expression,GRCh38,28,28.0,AC011446.1,28
WNT10B,ENSG00000169884,Gene Expression,GRCh38,16,18.0,WNT10B,16
STRIP1,ENSG00000143093,Gene Expression,GRCh38,509,553.0,STRIP1,509
RAB6C,ENSG00000222014,Gene Expression,GRCh38,50,52.0,RAB6C,50
MAK,ENSG00000111837,Gene Expression,GRCh38,41,41.0,MAK,41
AC004039.1,ENSG00000230612,Gene Expression,GRCh38,5,5.0,AC004039.1,5
ASH2L,ENSG00000129691,Gene Expression,GRCh38,673,749.0,ASH2L,673
ARRDC1,ENSG00000197070,Gene Expression,GRCh38,1726,2208.0,ARRDC1,1726
OSBP,ENSG00000110048,Gene Expression,GRCh38,1691,2184.0,OSBP,1691
TMPRSS2,ENSG00000184012,Gene Expression,GRCh38,316,393.0,TMPRSS2,316
MRPL23-AS1,ENSG00000226416,Gene Expression,GRCh38,9,9.0,MRPL23-AS1,9
AC007570.1,ENSG00000255655,Gene Expression,GRCh38,3,3.0,AC007570.1,3
AP000442.1,ENSG00000255008,Gene Expression,GRCh38,9,9.0,AP000442.1,9
SLC12A6,ENSG00000140199,Gene Expression,GRCh38,269,284.0,SLC12A6,269
TUBGCP3,ENSG00000126216,Gene Expression,GRCh38,418,451.0,TUBGCP3,418
CSRNP3,ENSG00000178662,Gene Expression,GRCh38,72,75.0,CSRNP3,72
LINC02029,ENSG00000241544,Gene Expression,GRCh38,7,7.0,LINC02029,7
MXD1,ENSG00000059728,Gene Expression,GRCh38,1361,2264.0,MXD1,1361
RHEB,ENSG00000106615,Gene Expression,GRCh38,4464,10765.0,RHEB,4464
LINC00485,ENSG00000258169,Gene Expression,GRCh38,17,18.0,LINC00485,17
PKIG,ENSG00000168734,Gene Expression,GRCh38,938,1078.0,PKIG,938
NDUFA2,ENSG00000131495,Gene Expression,GRCh38,3779,7696.0,NDUFA2,3779
LINC00456,ENSG00000233124,Gene Expression,GRCh38,127,136.0,LINC00456,127
AC020911.1,ENSG00000267033,Gene Expression,GRCh38,8,8.0,AC020911.1,8
MRPL34,ENSG00000130312,Gene Expression,GRCh38,1770,2569.0,MRPL34,1770
AL450992.1,ENSG00000229021,Gene Expression,GRCh38,4,4.0,AL450992.1,4
AGPAT3,ENSG00000160216,Gene Expression,GRCh38,305,334.0,AGPAT3,305
ORMDL3,ENSG00000172057,Gene Expression,GRCh38,724,812.0,ORMDL3,724
MTMR12,ENSG00000150712,Gene Expression,GRCh38,1011,1199.0,MTMR12,1011
FBXO6,ENSG00000116663,Gene Expression,GRCh38,596,723.0,FBXO6,596
CXCR6,ENSG00000172215,Gene Expression,GRCh38,998,1304.0,CXCR6,998
COX10,ENSG00000006695,Gene Expression,GRCh38,464,511.0,COX10,464
C1QTNF1-AS1,ENSG00000265096,Gene Expression,GRCh38,292,397.0,C1QTNF1-AS1,292
R3HCC1L,ENSG00000166024,Gene Expression,GRCh38,746,835.0,R3HCC1L,746
AL121658.1,ENSG00000272716,Gene Expression,GRCh38,39,40.0,AL121658.1,39
RBM6,ENSG00000004534,Gene Expression,GRCh38,1554,1957.0,RBM6,1554
MAP7,ENSG00000135525,Gene Expression,GRCh38,1108,1336.0,MAP7,1108
ANAPC2,ENSG00000176248,Gene Expression,GRCh38,217,223.0,ANAPC2,217
ANKRD18B,ENSG00000230453,Gene Expression,GRCh38,41,41.0,ANKRD18B,41
AKR1C1,ENSG00000187134,Gene Expression,GRCh38,23,24.0,AKR1C1,23
UBTD2,ENSG00000168246,Gene Expression,GRCh38,976,1147.0,UBTD2,976
CCDC137,ENSG00000185298,Gene Expression,GRCh38,1651,2230.0,CCDC137,1651
ZNF710,ENSG00000140548,Gene Expression,GRCh38,332,339.0,ZNF710,332
GUCY2D,ENSG00000132518,Gene Expression,GRCh38,10,10.0,GUCY2D,10
AFMID,ENSG00000183077,Gene Expression,GRCh38,672,745.0,AFMID,672
ZNF497,ENSG00000174586,Gene Expression,GRCh38,33,34.0,ZNF497,33
TMBIM4,ENSG00000155957,Gene Expression,GRCh38,2907,5681.0,TMBIM4,2907
IDH3B,ENSG00000101365,Gene Expression,GRCh38,1475,1875.0,IDH3B,1475
SMARCA5,ENSG00000153147,Gene Expression,GRCh38,3113,5475.0,SMARCA5,3113
PSEN1,ENSG00000080815,Gene Expression,GRCh38,1437,1776.0,PSEN1,1437
LYG2,ENSG00000185674,Gene Expression,GRCh38,10,10.0,LYG2,10
FAM200A,ENSG00000221909,Gene Expression,GRCh38,354,380.0,FAM200A,354
SLC10A7,ENSG00000120519,Gene Expression,GRCh38,1044,1238.0,SLC10A7,1044
AC079601.1,ENSG00000257225,Gene Expression,GRCh38,10,10.0,AC079601.1,10
MT1H,ENSG00000205358,Gene Expression,GRCh38,2862,13879.0,MT1H,2862
DHX16,ENSG00000204560,Gene Expression,GRCh38,723,802.0,DHX16,723
AC138627.1,ENSG00000261404,Gene Expression,GRCh38,9,9.0,AC138627.1,9
ING3,ENSG00000071243,Gene Expression,GRCh38,888,1039.0,ING3,888
AC073529.1,ENSG00000234129,Gene Expression,GRCh38,15,15.0,AC073529.1,15
MAP7D2,ENSG00000184368,Gene Expression,GRCh38,272,334.0,MAP7D2,272
SSBP4,ENSG00000130511,Gene Expression,GRCh38,1159,1356.0,SSBP4,1159
AC092338.2,ENSG00000260790,Gene Expression,GRCh38,7,7.0,AC092338.2,7
KCNA7,ENSG00000104848,Gene Expression,GRCh38,114,151.0,KCNA7,114
RAB9A,ENSG00000123595,Gene Expression,GRCh38,1811,2716.0,RAB9A,1811
MAP4K2,ENSG00000168067,Gene Expression,GRCh38,636,715.0,MAP4K2,636
AL354956.1,ENSG00000203469,Gene Expression,GRCh38,7,7.0,AL354956.1,7
NEK11,ENSG00000114670,Gene Expression,GRCh38,82,88.0,NEK11,82
FAM114A1,ENSG00000197712,Gene Expression,GRCh38,1863,2665.0,FAM114A1,1863
ACTA1,ENSG00000143632,Gene Expression,GRCh38,20,22.0,ACTA1,20
NTN1,ENSG00000065320,Gene Expression,GRCh38,30,34.0,NTN1,30
LGI4,ENSG00000153902,Gene Expression,GRCh38,52,56.0,LGI4,52
BEAN1,ENSG00000166546,Gene Expression,GRCh38,1086,1280.0,BEAN1,1086
EGR2,ENSG00000122877,Gene Expression,GRCh38,86,95.0,EGR2,86
KMT5A,ENSG00000183955,Gene Expression,GRCh38,1309,1646.0,KMT5A,1309
TTN-AS1,ENSG00000237298,Gene Expression,GRCh38,387,420.0,TTN-AS1,387
MAP4K5,ENSG00000012983,Gene Expression,GRCh38,1519,1986.0,MAP4K5,1519
HTR2A,ENSG00000102468,Gene Expression,GRCh38,5,7.0,HTR2A,5
SLC17A3,ENSG00000124564,Gene Expression,GRCh38,4,4.0,SLC17A3,4
AC107294.2,ENSG00000272970,Gene Expression,GRCh38,54,61.0,AC107294.2,54
UBL7,ENSG00000138629,Gene Expression,GRCh38,961,1132.0,UBL7,961
SLC7A5,ENSG00000103257,Gene Expression,GRCh38,1601,2271.0,SLC7A5,1601
TNFRSF10D,ENSG00000173530,Gene Expression,GRCh38,208,221.0,TNFRSF10D,208
OXNAD1,ENSG00000154814,Gene Expression,GRCh38,138,139.0,OXNAD1,138
AC016708.1,ENSG00000229267,Gene Expression,GRCh38,14,14.0,AC016708.1,14
MAP3K9,ENSG00000006432,Gene Expression,GRCh38,416,454.0,MAP3K9,416
AC016738.1,ENSG00000223947,Gene Expression,GRCh38,3,3.0,AC016738.1,3
TTC23,ENSG00000103852,Gene Expression,GRCh38,325,346.0,TTC23,325
PAG1,ENSG00000076641,Gene Expression,GRCh38,2075,4371.0,PAG1,2075
AC131011.1,ENSG00000233785,Gene Expression,GRCh38,39,40.0,AC131011.1,39
AC022784.3,ENSG00000253426,Gene Expression,GRCh38,19,19.0,AC022784.3,19
AC239803.1,ENSG00000232265,Gene Expression,GRCh38,7,14.0,AC239803.1,7
SAT2,ENSG00000141504,Gene Expression,GRCh38,1253,1551.0,SAT2,1253
LINC01759,ENSG00000234546,Gene Expression,GRCh38,68,73.0,LINC01759,68
AGAP4,ENSG00000188234,Gene Expression,GRCh38,214,225.0,AGAP4,214
ATP6V0C,ENSG00000185883,Gene Expression,GRCh38,170,179.0,ATP6V0C,170
AC117498.1,ENSG00000257653,Gene Expression,GRCh38,3,3.0,AC117498.1,3
AL513327.2,ENSG00000233246,Gene Expression,GRCh38,4,4.0,AL513327.2,4
RGS2,ENSG00000116741,Gene Expression,GRCh38,217,246.0,RGS2,217
NFE4,ENSG00000230257,Gene Expression,GRCh38,12,13.0,NFE4,12
GTDC1,ENSG00000121964,Gene Expression,GRCh38,140,145.0,GTDC1,140
FZR1,ENSG00000105325,Gene Expression,GRCh38,555,594.0,FZR1,555
TLDC1,ENSG00000140950,Gene Expression,GRCh38,870,1033.0,TLDC1,870
TRAIP,ENSG00000183763,Gene Expression,GRCh38,95,95.0,TRAIP,95
MPV17L,ENSG00000156968,Gene Expression,GRCh38,111,113.0,MPV17L,111
LCORL,ENSG00000178177,Gene Expression,GRCh38,639,720.0,LCORL,639
HHLA1,ENSG00000132297,Gene Expression,GRCh38,9,9.0,HHLA1,9
RBSN,ENSG00000131381,Gene Expression,GRCh38,510,544.0,RBSN,510
CNBD2,ENSG00000149646,Gene Expression,GRCh38,160,169.0,CNBD2,160
ZNF76,ENSG00000065029,Gene Expression,GRCh38,571,625.0,ZNF76,571
MREG,ENSG00000118242,Gene Expression,GRCh38,418,460.0,MREG,418
LINC00632,ENSG00000203930,Gene Expression,GRCh38,3,3.0,LINC00632,3
IRF1,ENSG00000125347,Gene Expression,GRCh38,2471,4444.0,IRF1,2471
AC007998.2,ENSG00000267140,Gene Expression,GRCh38,5,5.0,AC007998.2,5
CTLA4,ENSG00000163599,Gene Expression,GRCh38,11,12.0,CTLA4,11
CBY1,ENSG00000100211,Gene Expression,GRCh38,1069,1282.0,CBY1,1069
ARHGAP4,ENSG00000089820,Gene Expression,GRCh38,130,134.0,ARHGAP4,130
HELLS,ENSG00000119969,Gene Expression,GRCh38,639,795.0,HELLS,639
TIMM8A,ENSG00000126953,Gene Expression,GRCh38,524,595.0,TIMM8A,524
ESPNL,ENSG00000144488,Gene Expression,GRCh38,4,4.0,ESPNL,4
CDCP1,ENSG00000163814,Gene Expression,GRCh38,561,664.0,CDCP1,561
ZNF10,ENSG00000256223,Gene Expression,GRCh38,152,161.0,ZNF10,152
ABHD3,ENSG00000158201,Gene Expression,GRCh38,445,482.0,ABHD3,445
RASL10A,ENSG00000100276,Gene Expression,GRCh38,298,395.0,RASL10A,298
SPG21,ENSG00000090487,Gene Expression,GRCh38,1852,2754.0,SPG21,1852
ZNF596,ENSG00000172748,Gene Expression,GRCh38,37,37.0,ZNF596,37
PLA2G6,ENSG00000184381,Gene Expression,GRCh38,294,319.0,PLA2G6,294
SSX2IP,ENSG00000117155,Gene Expression,GRCh38,112,115.0,SSX2IP,112
TBC1D9,ENSG00000109436,Gene Expression,GRCh38,848,1009.0,TBC1D9,848
GABRE,ENSG00000102287,Gene Expression,GRCh38,860,1313.0,GABRE,860
IRAK3,ENSG00000090376,Gene Expression,GRCh38,12,14.0,IRAK3,12
SHTN1,ENSG00000187164,Gene Expression,GRCh38,2595,3897.0,SHTN1,2595
C1orf167,ENSG00000215910,Gene Expression,GRCh38,23,24.0,C1orf167,23
MRPL11,ENSG00000174547,Gene Expression,GRCh38,1523,1997.0,MRPL11,1523
ASF1B,ENSG00000105011,Gene Expression,GRCh38,80,100.0,ASF1B,80
RPA4,ENSG00000204086,Gene Expression,GRCh38,57,58.0,RPA4,57
LINC01666,ENSG00000279579,Gene Expression,GRCh38,4,4.0,LINC01666,4
AL031710.1,ENSG00000261399,Gene Expression,GRCh38,5,5.0,AL031710.1,5
CLIP4,ENSG00000115295,Gene Expression,GRCh38,894,1085.0,CLIP4,894
AC090774.3,ENSG00000266369,Gene Expression,GRCh38,13,14.0,AC090774.3,13
AC090826.1,ENSG00000261821,Gene Expression,GRCh38,203,218.0,AC090826.1,203
ANKRA2,ENSG00000164331,Gene Expression,GRCh38,800,923.0,ANKRA2,800
MAB21L3,ENSG00000173212,Gene Expression,GRCh38,58,61.0,MAB21L3,58
COX5B,ENSG00000135940,Gene Expression,GRCh38,5342,17612.0,COX5B,5342
BACE2,ENSG00000182240,Gene Expression,GRCh38,1936,3252.0,BACE2,1936
AL139393.2,ENSG00000272841,Gene Expression,GRCh38,49,49.0,AL139393.2,49
AC008622.2,ENSG00000275719,Gene Expression,GRCh38,14,15.0,AC008622.2,14
CEP85,ENSG00000130695,Gene Expression,GRCh38,768,1137.0,CEP85,768
IL1RAPL2,ENSG00000189108,Gene Expression,GRCh38,11,11.0,IL1RAPL2,11
NSMCE1,ENSG00000169189,Gene Expression,GRCh38,809,928.0,NSMCE1,809
MYO16,ENSG00000041515,Gene Expression,GRCh38,45,47.0,MYO16,45
AC009501.1,ENSG00000231609,Gene Expression,GRCh38,397,449.0,AC009501.1,397
AC135507.1,ENSG00000272182,Gene Expression,GRCh38,7,7.0,AC135507.1,7
JAK3,ENSG00000105639,Gene Expression,GRCh38,164,170.0,JAK3,164
NHSL2,ENSG00000204131,Gene Expression,GRCh38,41,41.0,NHSL2,41
SLC17A9,ENSG00000101194,Gene Expression,GRCh38,4,4.0,SLC17A9,4
LTBP2,ENSG00000119681,Gene Expression,GRCh38,3,3.0,LTBP2,3
MTMR9,ENSG00000104643,Gene Expression,GRCh38,701,789.0,MTMR9,701
TAS2R30,ENSG00000256188,Gene Expression,GRCh38,11,12.0,TAS2R30,11
TBC1D29,ENSG00000266733,Gene Expression,GRCh38,4,4.0,TBC1D29,4
AP005205.2,ENSG00000266441,Gene Expression,GRCh38,4,5.0,AP005205.2,4
MMADHC,ENSG00000168288,Gene Expression,GRCh38,1941,2893.0,MMADHC,1941
C2orf72,ENSG00000204128,Gene Expression,GRCh38,2657,4488.0,C2orf72,2657
TRIP13,ENSG00000071539,Gene Expression,GRCh38,141,148.0,TRIP13,141
TRIM22,ENSG00000132274,Gene Expression,GRCh38,976,1246.0,TRIM22,976
LINC01754,ENSG00000224565,Gene Expression,GRCh38,15,17.0,LINC01754,15
LINC00592,ENSG00000258279,Gene Expression,GRCh38,118,147.0,LINC00592,118
AC104170.2,ENSG00000238140,Gene Expression,GRCh38,6,6.0,AC104170.2,6
NBPF9,ENSG00000269713,Gene Expression,GRCh38,441,475.0,NBPF9,441
AC104463.2,ENSG00000226862,Gene Expression,GRCh38,20,21.0,AC104463.2,20
LPCAT1,ENSG00000153395,Gene Expression,GRCh38,3225,6033.0,LPCAT1,3225
AL157392.2,ENSG00000234091,Gene Expression,GRCh38,3,3.0,AL157392.2,3
MED14,ENSG00000180182,Gene Expression,GRCh38,581,631.0,MED14,581
FDXACB1,ENSG00000255561,Gene Expression,GRCh38,43,44.0,FDXACB1,43
AC009060.1,ENSG00000247228,Gene Expression,GRCh38,3,3.0,AC009060.1,3
ITGA2B,ENSG00000005961,Gene Expression,GRCh38,11,11.0,ITGA2B,11
APOBEC3B,ENSG00000179750,Gene Expression,GRCh38,12,12.0,APOBEC3B,12
CARD6,ENSG00000132357,Gene Expression,GRCh38,161,176.0,CARD6,161
SMPD2,ENSG00000135587,Gene Expression,GRCh38,243,252.0,SMPD2,243
MIP,ENSG00000135517,Gene Expression,GRCh38,4,4.0,MIP,4
AGAP1,ENSG00000157985,Gene Expression,GRCh38,485,525.0,AGAP1,485
ZNF846,ENSG00000196605,Gene Expression,GRCh38,154,162.0,ZNF846,154
DLK2,ENSG00000171462,Gene Expression,GRCh38,1093,1399.0,DLK2,1093
HIF1A,ENSG00000100644,Gene Expression,GRCh38,3431,6514.0,HIF1A,3431
CENPS,ENSG00000175279,Gene Expression,GRCh38,84,85.0,CENPS,84
CMTR1,ENSG00000137200,Gene Expression,GRCh38,1029,1218.0,CMTR1,1029
TMEM178B,ENSG00000261115,Gene Expression,GRCh38,6,6.0,TMEM178B,6
ZPLD1,ENSG00000170044,Gene Expression,GRCh38,113,122.0,ZPLD1,113
LINC02228,ENSG00000251273,Gene Expression,GRCh38,29,30.0,LINC02228,29
KLHL3,ENSG00000146021,Gene Expression,GRCh38,47,47.0,KLHL3,47
AC093495.1,ENSG00000228242,Gene Expression,GRCh38,49,49.0,AC093495.1,49
NOTCH2NL,ENSG00000264343,Gene Expression,GRCh38,176,184.0,NOTCH2NL,176
MED8,ENSG00000159479,Gene Expression,GRCh38,1714,2268.0,MED8,1714
RECQL,ENSG00000004700,Gene Expression,GRCh38,965,1160.0,RECQL,965
SP6,ENSG00000189120,Gene Expression,GRCh38,285,453.0,SP6,285
TMEM31,ENSG00000179363,Gene Expression,GRCh38,248,264.0,TMEM31,248
EPHA2,ENSG00000142627,Gene Expression,GRCh38,307,412.0,EPHA2,307
AC093227.1,ENSG00000267152,Gene Expression,GRCh38,91,93.0,AC093227.1,91
SPINK2,ENSG00000128040,Gene Expression,GRCh38,7,7.0,SPINK2,7
AKAP1,ENSG00000121057,Gene Expression,GRCh38,636,740.0,AKAP1,636
LINC01127,ENSG00000281162,Gene Expression,GRCh38,130,146.0,LINC01127,130
RAB9B,ENSG00000123570,Gene Expression,GRCh38,27,28.0,RAB9B,27
AP005137.2,ENSG00000272703,Gene Expression,GRCh38,18,18.0,AP005137.2,18
TRMT9B,ENSG00000250305,Gene Expression,GRCh38,11,11.0,TRMT9B,11
CNGA1,ENSG00000198515,Gene Expression,GRCh38,99,104.0,CNGA1,99
AC022087.1,ENSG00000259715,Gene Expression,GRCh38,29,29.0,AC022087.1,29
KIAA1324L,ENSG00000164659,Gene Expression,GRCh38,177,181.0,KIAA1324L,177
ZDHHC12,ENSG00000160446,Gene Expression,GRCh38,2869,4926.0,ZDHHC12,2869
AHDC1,ENSG00000126705,Gene Expression,GRCh38,535,611.0,AHDC1,535
AC131009.2,ENSG00000256955,Gene Expression,GRCh38,10,10.0,AC131009.2,10
SLC4A8,ENSG00000050438,Gene Expression,GRCh38,66,72.0,SLC4A8,66
GRIN3B,ENSG00000116032,Gene Expression,GRCh38,8,8.0,GRIN3B,8
ATP6V1C1,ENSG00000155097,Gene Expression,GRCh38,1223,1508.0,ATP6V1C1,1223
NELFE,ENSG00000204356,Gene Expression,GRCh38,1613,2088.0,NELFE,1613
PSMC1,ENSG00000100764,Gene Expression,GRCh38,2534,3802.0,PSMC1,2534
TANK,ENSG00000136560,Gene Expression,GRCh38,2134,2985.0,TANK,2134
TNFRSF25,ENSG00000215788,Gene Expression,GRCh38,641,776.0,TNFRSF25,641
LINC00601,ENSG00000235180,Gene Expression,GRCh38,7,9.0,LINC00601,7
HMGA1P4,ENSG00000234705,Gene Expression,GRCh38,5,5.0,HMGA1P4,5
AC123768.4,ENSG00000276724,Gene Expression,GRCh38,7,7.0,AC123768.4,7
ZNF549,ENSG00000121406,Gene Expression,GRCh38,126,128.0,ZNF549,126
ZNF449,ENSG00000173275,Gene Expression,GRCh38,146,151.0,ZNF449,146
AC073332.1,ENSG00000237773,Gene Expression,GRCh38,22,24.0,AC073332.1,22
NPIPA3,ENSG00000224712,Gene Expression,GRCh38,4,4.0,NPIPA3,4
AC006333.1,ENSG00000230442,Gene Expression,GRCh38,3,3.0,AC006333.1,3
AC145285.6,ENSG00000275807,Gene Expression,GRCh38,15,16.0,AC145285.6,15
SERPINF2,ENSG00000167711,Gene Expression,GRCh38,6,6.0,SERPINF2,6
AL132821.1,ENSG00000275142,Gene Expression,GRCh38,5,6.0,AL132821.1,5
SPINK5,ENSG00000133710,Gene Expression,GRCh38,355,389.0,SPINK5,355
AL391684.1,ENSG00000224934,Gene Expression,GRCh38,8,8.0,AL391684.1,8
FAM198B-AS1,ENSG00000248429,Gene Expression,GRCh38,35,37.0,FAM198B-AS1,35
TMCC3,ENSG00000057704,Gene Expression,GRCh38,732,847.0,TMCC3,732
SMARCD2,ENSG00000108604,Gene Expression,GRCh38,2384,3348.0,SMARCD2,2384
ZG16B,ENSG00000162078,Gene Expression,GRCh38,389,662.0,ZG16B,389
CYP2S1,ENSG00000167600,Gene Expression,GRCh38,24,30.0,CYP2S1,24
AP001189.1,ENSG00000236304,Gene Expression,GRCh38,581,737.0,AP001189.1,581
NAB2,ENSG00000166886,Gene Expression,GRCh38,270,299.0,NAB2,270
KCNQ1-AS1,ENSG00000229414,Gene Expression,GRCh38,292,409.0,KCNQ1-AS1,292
SH3GLB2,ENSG00000148341,Gene Expression,GRCh38,2983,6034.0,SH3GLB2,2983
HES5,ENSG00000197921,Gene Expression,GRCh38,27,44.0,HES5,27
AC100814.1,ENSG00000272010,Gene Expression,GRCh38,17,17.0,AC100814.1,17
LRIG3,ENSG00000139263,Gene Expression,GRCh38,41,44.0,LRIG3,41
WNT9A,ENSG00000143816,Gene Expression,GRCh38,13,13.0,WNT9A,13
KPNA6,ENSG00000025800,Gene Expression,GRCh38,1986,2728.0,KPNA6,1986
AL929472.2,ENSG00000230955,Gene Expression,GRCh38,26,26.0,AL929472.2,26
PCDHGB7,ENSG00000254122,Gene Expression,GRCh38,6,6.0,PCDHGB7,6
AP003559.1,ENSG00000256443,Gene Expression,GRCh38,7,7.0,AP003559.1,7
C8orf58,ENSG00000241852,Gene Expression,GRCh38,744,840.0,C8orf58,744
CAPNS2,ENSG00000256812,Gene Expression,GRCh38,7,8.0,CAPNS2,7
KANK4,ENSG00000132854,Gene Expression,GRCh38,1016,1331.0,KANK4,1016
C12orf49,ENSG00000111412,Gene Expression,GRCh38,988,1205.0,C12orf49,988
AC022031.1,ENSG00000267172,Gene Expression,GRCh38,4,4.0,AC022031.1,4
AP000704.1,ENSG00000224790,Gene Expression,GRCh38,41,42.0,AP000704.1,41
UBA3,ENSG00000144744,Gene Expression,GRCh38,1249,1481.0,UBA3,1249
MYNN,ENSG00000085274,Gene Expression,GRCh38,541,589.0,MYNN,541
RAB3IP,ENSG00000127328,Gene Expression,GRCh38,643,736.0,RAB3IP,643
JDP2,ENSG00000140044,Gene Expression,GRCh38,384,448.0,JDP2,384
PI4K2B,ENSG00000038210,Gene Expression,GRCh38,411,439.0,PI4K2B,411
UBE2D4,ENSG00000078967,Gene Expression,GRCh38,312,332.0,UBE2D4,312
SFN,ENSG00000175793,Gene Expression,GRCh38,781,996.0,SFN,781
AL360270.1,ENSG00000232811,Gene Expression,GRCh38,81,84.0,AL360270.1,81
DROSHA,ENSG00000113360,Gene Expression,GRCh38,545,588.0,DROSHA,545
ALG1L,ENSG00000189366,Gene Expression,GRCh38,67,68.0,ALG1L,67
COA5,ENSG00000183513,Gene Expression,GRCh38,801,931.0,COA5,801
RNASEH1-AS1,ENSG00000234171,Gene Expression,GRCh38,129,131.0,RNASEH1-AS1,129
CCDC126,ENSG00000169193,Gene Expression,GRCh38,347,373.0,CCDC126,347
POMT1,ENSG00000130714,Gene Expression,GRCh38,708,779.0,POMT1,708
AL731563.3,ENSG00000272630,Gene Expression,GRCh38,26,27.0,AL731563.3,26
AP1S1,ENSG00000106367,Gene Expression,GRCh38,2711,4807.0,AP1S1,2711
KIAA1324,ENSG00000116299,Gene Expression,GRCh38,95,98.0,KIAA1324,95
SUPV3L1,ENSG00000156502,Gene Expression,GRCh38,478,515.0,SUPV3L1,478
AC106028.4,ENSG00000274215,Gene Expression,GRCh38,7,7.0,AC106028.4,7
AC010894.4,ENSG00000237798,Gene Expression,GRCh38,5,5.0,AC010894.4,5
ARMCX3,ENSG00000102401,Gene Expression,GRCh38,1883,2772.0,ARMCX3,1883
CER1,ENSG00000147869,Gene Expression,GRCh38,3,3.0,CER1,3
MYL6,ENSG00000092841,Gene Expression,GRCh38,8558,64323.0,MYL6,8558
AC025580.1,ENSG00000259342,Gene Expression,GRCh38,11,12.0,AC025580.1,11
PHTF1,ENSG00000116793,Gene Expression,GRCh38,186,196.0,PHTF1,186
HIST1H2AG,ENSG00000196787,Gene Expression,GRCh38,262,316.0,HIST1H2AG,262
UQCRC1,ENSG00000010256,Gene Expression,GRCh38,3194,5330.0,UQCRC1,3194
AL451050.2,ENSG00000272205,Gene Expression,GRCh38,12,13.0,AL451050.2,12
CEP170,ENSG00000143702,Gene Expression,GRCh38,748,870.0,CEP170,748
GAL,ENSG00000069482,Gene Expression,GRCh38,186,231.0,GAL,186
TAS2R31,ENSG00000256436,Gene Expression,GRCh38,14,14.0,TAS2R31,14
ATP2A2,ENSG00000174437,Gene Expression,GRCh38,2227,3275.0,ATP2A2,2227
PPP1R13B,ENSG00000088808,Gene Expression,GRCh38,243,253.0,PPP1R13B,243
NACC1,ENSG00000160877,Gene Expression,GRCh38,902,1020.0,NACC1,902
MINOS1,ENSG00000173436,Gene Expression,GRCh38,2547,4154.0,MINOS1,2547
SAP30L-AS1,ENSG00000245275,Gene Expression,GRCh38,5,5.0,SAP30L-AS1,5
TSPAN1,ENSG00000117472,Gene Expression,GRCh38,6,6.0,TSPAN1,6
HYAL1,ENSG00000114378,Gene Expression,GRCh38,3,3.0,HYAL1,3
AC090515.4,ENSG00000259353,Gene Expression,GRCh38,3,3.0,AC090515.4,3
AC011476.3,ENSG00000267265,Gene Expression,GRCh38,24,24.0,AC011476.3,24
ZNF682,ENSG00000197124,Gene Expression,GRCh38,176,202.0,ZNF682,176
LINC00939,ENSG00000249267,Gene Expression,GRCh38,103,112.0,LINC00939,103
AC079313.2,ENSG00000258137,Gene Expression,GRCh38,46,48.0,AC079313.2,46
CRELD1,ENSG00000163703,Gene Expression,GRCh38,751,850.0,CRELD1,751
USP33,ENSG00000077254,Gene Expression,GRCh38,1302,1583.0,USP33,1302
BRCA1,ENSG00000012048,Gene Expression,GRCh38,204,229.0,BRCA1,204
LINC00923,ENSG00000251209,Gene Expression,GRCh38,9,9.0,LINC00923,9
AC009119.2,ENSG00000260300,Gene Expression,GRCh38,10,10.0,AC009119.2,10
ARPC4,ENSG00000241553,Gene Expression,GRCh38,2934,5293.0,ARPC4,2934
AC003092.1,ENSG00000236453,Gene Expression,GRCh38,5,5.0,AC003092.1,5
GPR68,ENSG00000119714,Gene Expression,GRCh38,13,13.0,GPR68,13
ZNF839,ENSG00000022976,Gene Expression,GRCh38,292,311.0,ZNF839,292
ZNF548,ENSG00000188785,Gene Expression,GRCh38,185,191.0,ZNF548,185
AC010240.3,ENSG00000272023,Gene Expression,GRCh38,4,4.0,AC010240.3,4
GSTCD,ENSG00000138780,Gene Expression,GRCh38,560,624.0,GSTCD,560
ITPRIPL1,ENSG00000198885,Gene Expression,GRCh38,16,16.0,ITPRIPL1,16
DBN1,ENSG00000113758,Gene Expression,GRCh38,51,55.0,DBN1,51
RNASEH2A,ENSG00000104889,Gene Expression,GRCh38,69,70.0,RNASEH2A,69
