,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
ATP6V1G1,ENSG00000136888,Gene Expression,GRCh38,8947.0,ATP6V1G1,8079
TRIM47,ENSG00000132481,Gene Expression,GRCh38,17.0,TRIM47,17
EBLN2,ENSG00000255423,Gene Expression,GRCh38,48.0,EBLN2,48
CHST12,ENSG00000136213,Gene Expression,GRCh38,455.0,CHST12,439
CXCL11,ENSG00000169248,Gene Expression,GRCh38,2.0,CXCL11,2
E2F4,ENSG00000205250,Gene Expression,GRCh38,1728.0,E2F4,1650
EVX1-AS,ENSG00000253405,Gene Expression,GRCh38,1.0,EVX1-AS,1
KPTN,ENSG00000118162,Gene Expression,GRCh38,252.0,KPTN,241
CDK11B,ENSG00000248333,Gene Expression,GRCh38,1178.0,CDK11B,1129
MTMR3,ENSG00000100330,Gene Expression,GRCh38,936.0,MTMR3,909
NAA30,ENSG00000139977,Gene Expression,GRCh38,712.0,NAA30,700
GHET1,ENSG00000281189,Gene Expression,GRCh38,11.0,GHET1,11
CCDC51,ENSG00000164051,Gene Expression,GRCh38,303.0,CCDC51,298
LINC02091,ENSG00000273172,Gene Expression,GRCh38,1.0,LINC02091,1
LIN7B,ENSG00000104863,Gene Expression,GRCh38,175.0,LIN7B,170
CD96,ENSG00000153283,Gene Expression,GRCh38,22.0,CD96,22
METTL4,ENSG00000101574,Gene Expression,GRCh38,263.0,METTL4,256
TM2D3,ENSG00000184277,Gene Expression,GRCh38,1001.0,TM2D3,962
AL445430.2,ENSG00000242753,Gene Expression,GRCh38,25.0,AL445430.2,25
C2orf74,ENSG00000237651,Gene Expression,GRCh38,633.0,C2orf74,591
MARS2,ENSG00000247626,Gene Expression,GRCh38,60.0,MARS2,60
MYO6,ENSG00000196586,Gene Expression,GRCh38,2017.0,MYO6,1932
CENPP,ENSG00000188312,Gene Expression,GRCh38,66.0,CENPP,64
RNF169,ENSG00000166439,Gene Expression,GRCh38,975.0,RNF169,941
SNORC,ENSG00000182600,Gene Expression,GRCh38,17.0,SNORC,16
GSPT2,ENSG00000189369,Gene Expression,GRCh38,17.0,GSPT2,17
TMEM62,ENSG00000137842,Gene Expression,GRCh38,818.0,TMEM62,794
LARP4,ENSG00000161813,Gene Expression,GRCh38,2161.0,LARP4,2084
HOXB6,ENSG00000108511,Gene Expression,GRCh38,52.0,HOXB6,50
MTCP1,ENSG00000214827,Gene Expression,GRCh38,7.0,MTCP1,7
AL138820.1,ENSG00000277151,Gene Expression,GRCh38,11.0,AL138820.1,11
TRMT12,ENSG00000183665,Gene Expression,GRCh38,157.0,TRMT12,157
USP45,ENSG00000123552,Gene Expression,GRCh38,280.0,USP45,275
PSMG3,ENSG00000157778,Gene Expression,GRCh38,1946.0,PSMG3,1871
DYNLRB2,ENSG00000168589,Gene Expression,GRCh38,10.0,DYNLRB2,10
WDR41,ENSG00000164253,Gene Expression,GRCh38,564.0,WDR41,537
LINC01876,ENSG00000226383,Gene Expression,GRCh38,11.0,LINC01876,11
EIF4ENIF1,ENSG00000184708,Gene Expression,GRCh38,397.0,EIF4ENIF1,384
SEL1L3,ENSG00000091490,Gene Expression,GRCh38,156.0,SEL1L3,154
AC110769.2,ENSG00000270019,Gene Expression,GRCh38,9.0,AC110769.2,9
AL732372.1,ENSG00000236601,Gene Expression,GRCh38,174.0,AL732372.1,168
FGF14-AS2,ENSG00000272143,Gene Expression,GRCh38,5.0,FGF14-AS2,5
LYPLAL1-DT,ENSG00000228063,Gene Expression,GRCh38,2.0,LYPLAL1-DT,2
LRRC17,ENSG00000128606,Gene Expression,GRCh38,9.0,LRRC17,9
SH3BGRL2,ENSG00000198478,Gene Expression,GRCh38,812.0,SH3BGRL2,801
PDCD1,ENSG00000188389,Gene Expression,GRCh38,2.0,PDCD1,2
TIMM10B,ENSG00000132286,Gene Expression,GRCh38,977.0,TIMM10B,950
AC091946.2,ENSG00000272130,Gene Expression,GRCh38,3.0,AC091946.2,3
AC010486.3,ENSG00000249842,Gene Expression,GRCh38,1.0,AC010486.3,1
CYP2R1,ENSG00000186104,Gene Expression,GRCh38,49.0,CYP2R1,49
TTC25,ENSG00000204815,Gene Expression,GRCh38,34.0,TTC25,29
AC021205.3,ENSG00000273007,Gene Expression,GRCh38,0.0,AC021205.3,0
CPQ,ENSG00000104324,Gene Expression,GRCh38,35.0,CPQ,33
TSN,ENSG00000211460,Gene Expression,GRCh38,698.0,TSN,679
COL6A3,ENSG00000163359,Gene Expression,GRCh38,29.0,COL6A3,29
AC093323.1,ENSG00000170846,Gene Expression,GRCh38,423.0,AC093323.1,409
CLEC18A,ENSG00000157322,Gene Expression,GRCh38,5.0,CLEC18A,4
AJ011932.1,ENSG00000274248,Gene Expression,GRCh38,1.0,AJ011932.1,1
PHF13,ENSG00000116273,Gene Expression,GRCh38,574.0,PHF13,561
RNF185-AS1,ENSG00000254835,Gene Expression,GRCh38,1.0,RNF185-AS1,1
AL162574.2,ENSG00000278698,Gene Expression,GRCh38,4.0,AL162574.2,4
TFAP2C,ENSG00000087510,Gene Expression,GRCh38,3669.0,TFAP2C,3498
TRAFD1,ENSG00000135148,Gene Expression,GRCh38,863.0,TRAFD1,836
CA5B,ENSG00000169239,Gene Expression,GRCh38,66.0,CA5B,66
KRBOX1,ENSG00000240747,Gene Expression,GRCh38,142.0,KRBOX1,141
CD86,ENSG00000114013,Gene Expression,GRCh38,3.0,CD86,3
P2RX2,ENSG00000187848,Gene Expression,GRCh38,185.0,P2RX2,184
KLHL30,ENSG00000168427,Gene Expression,GRCh38,39.0,KLHL30,39
AL391335.1,ENSG00000250734,Gene Expression,GRCh38,6.0,AL391335.1,6
GSPT1,ENSG00000103342,Gene Expression,GRCh38,3550.0,GSPT1,3365
STUB1,ENSG00000103266,Gene Expression,GRCh38,3895.0,STUB1,3695
AL162419.1,ENSG00000228322,Gene Expression,GRCh38,1.0,AL162419.1,1
RPS10,ENSG00000124614,Gene Expression,GRCh38,12571.0,RPS10,11128
G2E3,ENSG00000092140,Gene Expression,GRCh38,829.0,G2E3,801
EPHB3,ENSG00000182580,Gene Expression,GRCh38,539.0,EPHB3,517
CIITA,ENSG00000179583,Gene Expression,GRCh38,9.0,CIITA,9
AL035530.2,ENSG00000271913,Gene Expression,GRCh38,1.0,AL035530.2,1
MITD1,ENSG00000158411,Gene Expression,GRCh38,1623.0,MITD1,1514
AC017083.1,ENSG00000273064,Gene Expression,GRCh38,9.0,AC017083.1,9
RNF26,ENSG00000173456,Gene Expression,GRCh38,607.0,RNF26,598
OCEL1,ENSG00000099330,Gene Expression,GRCh38,1424.0,OCEL1,1379
RGS9BP,ENSG00000186326,Gene Expression,GRCh38,6.0,RGS9BP,6
AC112487.1,ENSG00000239482,Gene Expression,GRCh38,66.0,AC112487.1,65
OR14I1,ENSG00000189181,Gene Expression,GRCh38,2.0,OR14I1,2
DOCK1,ENSG00000150760,Gene Expression,GRCh38,1052.0,DOCK1,1013
AC093801.1,ENSG00000248388,Gene Expression,GRCh38,2.0,AC093801.1,2
CAV3,ENSG00000182533,Gene Expression,GRCh38,5.0,CAV3,3
IBSP,ENSG00000029559,Gene Expression,GRCh38,7.0,IBSP,6
AC008632.1,ENSG00000253141,Gene Expression,GRCh38,1.0,AC008632.1,1
KRTAP24-1,ENSG00000188694,Gene Expression,GRCh38,2.0,KRTAP24-1,2
PCBP2,ENSG00000197111,Gene Expression,GRCh38,11239.0,PCBP2,10111
FAM205A,ENSG00000205108,Gene Expression,GRCh38,2.0,FAM205A,2
BAP1,ENSG00000163930,Gene Expression,GRCh38,883.0,BAP1,857
AP3D1,ENSG00000065000,Gene Expression,GRCh38,4257.0,AP3D1,4000
PEX14,ENSG00000142655,Gene Expression,GRCh38,441.0,PEX14,437
LINC02066,ENSG00000241151,Gene Expression,GRCh38,0.0,LINC02066,0
KAT2A,ENSG00000108773,Gene Expression,GRCh38,255.0,KAT2A,250
PSRC1,ENSG00000134222,Gene Expression,GRCh38,72.0,PSRC1,71
CEP126,ENSG00000110318,Gene Expression,GRCh38,120.0,CEP126,114
AC036108.2,ENSG00000261054,Gene Expression,GRCh38,1.0,AC036108.2,1
HIVEP1,ENSG00000095951,Gene Expression,GRCh38,240.0,HIVEP1,237
OR1C1,ENSG00000221888,Gene Expression,GRCh38,2.0,OR1C1,2
ACR,ENSG00000100312,Gene Expression,GRCh38,3.0,ACR,3
PARL,ENSG00000175193,Gene Expression,GRCh38,916.0,PARL,898
RNF170,ENSG00000120925,Gene Expression,GRCh38,1050.0,RNF170,1008
RTRAF,ENSG00000087302,Gene Expression,GRCh38,4000.0,RTRAF,3817
MFSD4A,ENSG00000174514,Gene Expression,GRCh38,3.0,MFSD4A,3
ZKSCAN2,ENSG00000155592,Gene Expression,GRCh38,185.0,ZKSCAN2,181
ZNF480,ENSG00000198464,Gene Expression,GRCh38,1062.0,ZNF480,1004
MED14OS,ENSG00000234636,Gene Expression,GRCh38,9.0,MED14OS,8
PPM1A,ENSG00000100614,Gene Expression,GRCh38,1157.0,PPM1A,1136
SOX12,ENSG00000177732,Gene Expression,GRCh38,229.0,SOX12,225
DLGAP3,ENSG00000116544,Gene Expression,GRCh38,1.0,DLGAP3,1
ZNF326,ENSG00000162664,Gene Expression,GRCh38,1397.0,ZNF326,1335
KREMEN1,ENSG00000183762,Gene Expression,GRCh38,200.0,KREMEN1,199
AC084337.2,ENSG00000283977,Gene Expression,GRCh38,1.0,AC084337.2,1
NRDC,ENSG00000078618,Gene Expression,GRCh38,3258.0,NRDC,3036
LINC01023,ENSG00000272523,Gene Expression,GRCh38,20.0,LINC01023,18
AP001020.1,ENSG00000264339,Gene Expression,GRCh38,4.0,AP001020.1,4
PLEKHH3,ENSG00000068137,Gene Expression,GRCh38,561.0,PLEKHH3,535
LACC1,ENSG00000179630,Gene Expression,GRCh38,530.0,LACC1,520
AL157400.2,ENSG00000232936,Gene Expression,GRCh38,2.0,AL157400.2,2
MTO1,ENSG00000135297,Gene Expression,GRCh38,271.0,MTO1,265
RECQL4,ENSG00000160957,Gene Expression,GRCh38,197.0,RECQL4,194
NR2F1-AS1,ENSG00000237187,Gene Expression,GRCh38,3.0,NR2F1-AS1,3
TUB,ENSG00000166402,Gene Expression,GRCh38,134.0,TUB,133
GNGT2,ENSG00000167083,Gene Expression,GRCh38,1.0,GNGT2,1
ARMH4,ENSG00000139971,Gene Expression,GRCh38,100.0,ARMH4,97
LINC00460,ENSG00000233532,Gene Expression,GRCh38,15.0,LINC00460,15
UGT8,ENSG00000174607,Gene Expression,GRCh38,1.0,UGT8,1
SZRD1,ENSG00000055070,Gene Expression,GRCh38,4741.0,SZRD1,4439
C10orf143,ENSG00000237489,Gene Expression,GRCh38,20.0,C10orf143,20
AL138966.2,ENSG00000277368,Gene Expression,GRCh38,10.0,AL138966.2,9
NOG,ENSG00000183691,Gene Expression,GRCh38,458.0,NOG,454
HELZ2,ENSG00000130589,Gene Expression,GRCh38,764.0,HELZ2,736
AL161752.1,ENSG00000259126,Gene Expression,GRCh38,6.0,AL161752.1,6
CX3CL1,ENSG00000006210,Gene Expression,GRCh38,27.0,CX3CL1,26
NCAN,ENSG00000130287,Gene Expression,GRCh38,3.0,NCAN,3
NOL6,ENSG00000165271,Gene Expression,GRCh38,417.0,NOL6,409
AL162231.1,ENSG00000187186,Gene Expression,GRCh38,377.0,AL162231.1,359
FMNL2,ENSG00000157827,Gene Expression,GRCh38,2446.0,FMNL2,2339
HOTTIP,ENSG00000243766,Gene Expression,GRCh38,5.0,HOTTIP,5
COPG2,ENSG00000158623,Gene Expression,GRCh38,407.0,COPG2,402
AL499616.1,ENSG00000232892,Gene Expression,GRCh38,1.0,AL499616.1,1
C5orf58,ENSG00000234511,Gene Expression,GRCh38,36.0,C5orf58,36
DDR1,ENSG00000204580,Gene Expression,GRCh38,1523.0,DDR1,1478
AC007014.1,ENSG00000262020,Gene Expression,GRCh38,9.0,AC007014.1,8
GALM,ENSG00000143891,Gene Expression,GRCh38,1164.0,GALM,1107
IL20RB,ENSG00000174564,Gene Expression,GRCh38,126.0,IL20RB,122
LINC00159,ENSG00000230323,Gene Expression,GRCh38,0.0,LINC00159,0
AC007608.3,ENSG00000260249,Gene Expression,GRCh38,1.0,AC007608.3,1
EYA3,ENSG00000158161,Gene Expression,GRCh38,498.0,EYA3,479
SETD2,ENSG00000181555,Gene Expression,GRCh38,1683.0,SETD2,1591
PITPNA-AS1,ENSG00000236618,Gene Expression,GRCh38,276.0,PITPNA-AS1,264
MRPS24,ENSG00000062582,Gene Expression,GRCh38,30.0,MRPS24,29
SSNA1,ENSG00000176101,Gene Expression,GRCh38,2073.0,SSNA1,1990
AL590440.1,ENSG00000233271,Gene Expression,GRCh38,1.0,AL590440.1,1
AC096642.1,ENSG00000277007,Gene Expression,GRCh38,10.0,AC096642.1,10
ZGRF1,ENSG00000138658,Gene Expression,GRCh38,45.0,ZGRF1,44
MYC,ENSG00000136997,Gene Expression,GRCh38,460.0,MYC,453
CNOT9,ENSG00000144580,Gene Expression,GRCh38,995.0,CNOT9,970
NLGN3,ENSG00000196338,Gene Expression,GRCh38,18.0,NLGN3,18
SCAF11,ENSG00000139218,Gene Expression,GRCh38,3248.0,SCAF11,3091
PLCG2,ENSG00000197943,Gene Expression,GRCh38,3274.0,PLCG2,2849
AL596257.1,ENSG00000284705,Gene Expression,GRCh38,1.0,AL596257.1,1
AL031665.2,ENSG00000276026,Gene Expression,GRCh38,1.0,AL031665.2,1
DNAJC9,ENSG00000213551,Gene Expression,GRCh38,586.0,DNAJC9,568
AL355388.1,ENSG00000224276,Gene Expression,GRCh38,1.0,AL355388.1,1
MALSU1,ENSG00000156928,Gene Expression,GRCh38,2021.0,MALSU1,1951
RASSF4,ENSG00000107551,Gene Expression,GRCh38,66.0,RASSF4,64
OR10Z1,ENSG00000198967,Gene Expression,GRCh38,1.0,OR10Z1,1
SPATA13,ENSG00000182957,Gene Expression,GRCh38,497.0,SPATA13,491
NOC4L,ENSG00000184967,Gene Expression,GRCh38,777.0,NOC4L,760
AC016683.1,ENSG00000234174,Gene Expression,GRCh38,1.0,AC016683.1,1
CCNI,ENSG00000118816,Gene Expression,GRCh38,7137.0,CCNI,6544
NEPRO,ENSG00000163608,Gene Expression,GRCh38,484.0,NEPRO,479
SUDS3,ENSG00000111707,Gene Expression,GRCh38,2675.0,SUDS3,2502
AL392046.1,ENSG00000230534,Gene Expression,GRCh38,3.0,AL392046.1,3
EMC2,ENSG00000104412,Gene Expression,GRCh38,1228.0,EMC2,1196
ARIH2OS,ENSG00000221883,Gene Expression,GRCh38,34.0,ARIH2OS,33
LGALS2,ENSG00000100079,Gene Expression,GRCh38,2.0,LGALS2,2
CTPS2,ENSG00000047230,Gene Expression,GRCh38,212.0,CTPS2,206
AASS,ENSG00000008311,Gene Expression,GRCh38,42.0,AASS,41
TCTN3,ENSG00000119977,Gene Expression,GRCh38,1139.0,TCTN3,1115
ZBTB17,ENSG00000116809,Gene Expression,GRCh38,353.0,ZBTB17,346
EBLN3P,ENSG00000281649,Gene Expression,GRCh38,1058.0,EBLN3P,1027
PLCXD2,ENSG00000240891,Gene Expression,GRCh38,718.0,PLCXD2,706
KLHL21,ENSG00000162413,Gene Expression,GRCh38,350.0,KLHL21,341
ATG9B,ENSG00000181652,Gene Expression,GRCh38,496.0,ATG9B,479
ZNF621,ENSG00000172888,Gene Expression,GRCh38,352.0,ZNF621,344
ATP8B3,ENSG00000130270,Gene Expression,GRCh38,128.0,ATP8B3,126
Z84485.1,ENSG00000246982,Gene Expression,GRCh38,8.0,Z84485.1,8
HSPB8,ENSG00000152137,Gene Expression,GRCh38,10438.0,HSPB8,9365
GOLGA6L6,ENSG00000277322,Gene Expression,GRCh38,2.0,GOLGA6L6,2
RORA-AS1,ENSG00000245534,Gene Expression,GRCh38,4.0,RORA-AS1,3
ZDHHC2,ENSG00000104219,Gene Expression,GRCh38,316.0,ZDHHC2,309
AC068946.2,ENSG00000284820,Gene Expression,GRCh38,1.0,AC068946.2,1
AC022509.1,ENSG00000255750,Gene Expression,GRCh38,4.0,AC022509.1,4
NUP62CL,ENSG00000198088,Gene Expression,GRCh38,10.0,NUP62CL,10
SOD3,ENSG00000109610,Gene Expression,GRCh38,728.0,SOD3,707
AC008781.2,ENSG00000246422,Gene Expression,GRCh38,2.0,AC008781.2,2
AL023581.2,ENSG00000227192,Gene Expression,GRCh38,1.0,AL023581.2,1
IL36G,ENSG00000136688,Gene Expression,GRCh38,2.0,IL36G,2
LINC01638,ENSG00000233521,Gene Expression,GRCh38,1.0,LINC01638,1
TCF7L2,ENSG00000148737,Gene Expression,GRCh38,9432.0,TCF7L2,8500
FAAH,ENSG00000117480,Gene Expression,GRCh38,498.0,FAAH,474
PPIB,ENSG00000166794,Gene Expression,GRCh38,43462.0,PPIB,30024
AC015689.1,ENSG00000254480,Gene Expression,GRCh38,9.0,AC015689.1,9
UBXN7,ENSG00000163960,Gene Expression,GRCh38,1211.0,UBXN7,1176
AC008115.4,ENSG00000275963,Gene Expression,GRCh38,1.0,AC008115.4,1
CCNB1IP1,ENSG00000100814,Gene Expression,GRCh38,828.0,CCNB1IP1,803
OR2B2,ENSG00000168131,Gene Expression,GRCh38,1.0,OR2B2,1
AC064805.1,ENSG00000261222,Gene Expression,GRCh38,2.0,AC064805.1,2
STIP1,ENSG00000168439,Gene Expression,GRCh38,3732.0,STIP1,3547
AC005487.1,ENSG00000225647,Gene Expression,GRCh38,12.0,AC005487.1,10
ADAM30,ENSG00000134249,Gene Expression,GRCh38,0.0,ADAM30,0
NEMP2,ENSG00000189362,Gene Expression,GRCh38,31.0,NEMP2,30
MTMR1,ENSG00000063601,Gene Expression,GRCh38,795.0,MTMR1,772
TULP4,ENSG00000130338,Gene Expression,GRCh38,953.0,TULP4,918
AL022069.1,ENSG00000261420,Gene Expression,GRCh38,12.0,AL022069.1,11
AC021231.1,ENSG00000259336,Gene Expression,GRCh38,0.0,AC021231.1,0
NPM3,ENSG00000107833,Gene Expression,GRCh38,843.0,NPM3,820
TRIM33,ENSG00000197323,Gene Expression,GRCh38,2497.0,TRIM33,2390
DERA,ENSG00000023697,Gene Expression,GRCh38,726.0,DERA,711
ACOT8,ENSG00000101473,Gene Expression,GRCh38,611.0,ACOT8,593
ZFR,ENSG00000056097,Gene Expression,GRCh38,2276.0,ZFR,2169
AC010401.1,ENSG00000262732,Gene Expression,GRCh38,6.0,AC010401.1,6
TMEM213,ENSG00000214128,Gene Expression,GRCh38,10.0,TMEM213,9
PRPF39,ENSG00000185246,Gene Expression,GRCh38,419.0,PRPF39,415
SPINK4,ENSG00000122711,Gene Expression,GRCh38,5.0,SPINK4,5
FLOT2,ENSG00000132589,Gene Expression,GRCh38,6631.0,FLOT2,6135
KDELR1,ENSG00000105438,Gene Expression,GRCh38,8086.0,KDELR1,7406
ACTN2,ENSG00000077522,Gene Expression,GRCh38,2.0,ACTN2,2
AC083973.1,ENSG00000253408,Gene Expression,GRCh38,3.0,AC083973.1,3
AP005264.1,ENSG00000267069,Gene Expression,GRCh38,41.0,AP005264.1,40
HIST1H1A,ENSG00000124610,Gene Expression,GRCh38,0.0,HIST1H1A,0
AC020559.1,ENSG00000231842,Gene Expression,GRCh38,1.0,AC020559.1,1
RHOT1,ENSG00000126858,Gene Expression,GRCh38,679.0,RHOT1,665
NUP98,ENSG00000110713,Gene Expression,GRCh38,1193.0,NUP98,1159
SGO2,ENSG00000163535,Gene Expression,GRCh38,228.0,SGO2,219
NT5C3A,ENSG00000122643,Gene Expression,GRCh38,558.0,NT5C3A,545
AL121983.1,ENSG00000224977,Gene Expression,GRCh38,2.0,AL121983.1,2
ATP5MPL,ENSG00000156411,Gene Expression,GRCh38,29534.0,ATP5MPL,21700
SMPX,ENSG00000091482,Gene Expression,GRCh38,1.0,SMPX,1
MYO9B,ENSG00000099331,Gene Expression,GRCh38,1997.0,MYO9B,1926
YLPM1,ENSG00000119596,Gene Expression,GRCh38,1001.0,YLPM1,950
IBA57,ENSG00000181873,Gene Expression,GRCh38,156.0,IBA57,156
RPL9,ENSG00000163682,Gene Expression,GRCh38,63190.0,RPL9,37456
PDGFA,ENSG00000197461,Gene Expression,GRCh38,102.0,PDGFA,95
AL691403.2,ENSG00000273565,Gene Expression,GRCh38,5.0,AL691403.2,5
HLA-DPB1,ENSG00000223865,Gene Expression,GRCh38,2.0,HLA-DPB1,2
AC096732.1,ENSG00000226655,Gene Expression,GRCh38,1.0,AC096732.1,1
SNRPE,ENSG00000182004,Gene Expression,GRCh38,5657.0,SNRPE,5213
NOLC1,ENSG00000166197,Gene Expression,GRCh38,1725.0,NOLC1,1658
AC108134.3,ENSG00000262370,Gene Expression,GRCh38,15.0,AC108134.3,15
CASP7,ENSG00000165806,Gene Expression,GRCh38,853.0,CASP7,839
AL359541.1,ENSG00000226889,Gene Expression,GRCh38,1.0,AL359541.1,1
RLN1,ENSG00000107018,Gene Expression,GRCh38,5.0,RLN1,5
METTL3,ENSG00000165819,Gene Expression,GRCh38,458.0,METTL3,446
ZNF671,ENSG00000083814,Gene Expression,GRCh38,6.0,ZNF671,6
NUDT21,ENSG00000167005,Gene Expression,GRCh38,1579.0,NUDT21,1530
SRP14,ENSG00000140319,Gene Expression,GRCh38,32298.0,SRP14,23557
PARPBP,ENSG00000185480,Gene Expression,GRCh38,74.0,PARPBP,71
ZSCAN30,ENSG00000186814,Gene Expression,GRCh38,253.0,ZSCAN30,247
FAM122B,ENSG00000156504,Gene Expression,GRCh38,603.0,FAM122B,585
AC000068.1,ENSG00000185065,Gene Expression,GRCh38,4.0,AC000068.1,4
C9orf84,ENSG00000165181,Gene Expression,GRCh38,1.0,C9orf84,1
ZBTB26,ENSG00000171448,Gene Expression,GRCh38,50.0,ZBTB26,46
BRPF1,ENSG00000156983,Gene Expression,GRCh38,222.0,BRPF1,218
ZFYVE16,ENSG00000039319,Gene Expression,GRCh38,970.0,ZFYVE16,951
TPM2,ENSG00000198467,Gene Expression,GRCh38,8067.0,TPM2,7225
AC144652.1,ENSG00000273117,Gene Expression,GRCh38,254.0,AC144652.1,250
CCR2,ENSG00000121807,Gene Expression,GRCh38,1.0,CCR2,1
KIAA0319L,ENSG00000142687,Gene Expression,GRCh38,1716.0,KIAA0319L,1630
LINC00533,ENSG00000235570,Gene Expression,GRCh38,4.0,LINC00533,4
AC018946.1,ENSG00000259177,Gene Expression,GRCh38,3.0,AC018946.1,3
C8orf33,ENSG00000182307,Gene Expression,GRCh38,1428.0,C8orf33,1369
AC103702.2,ENSG00000272763,Gene Expression,GRCh38,5.0,AC103702.2,5
AL356652.1,ENSG00000278367,Gene Expression,GRCh38,8.0,AL356652.1,8
AC002480.4,ENSG00000238033,Gene Expression,GRCh38,1.0,AC002480.4,1
NOC2L,ENSG00000188976,Gene Expression,GRCh38,1040.0,NOC2L,1012
B3GALT5-AS1,ENSG00000184809,Gene Expression,GRCh38,1.0,B3GALT5-AS1,1
ZC3H14,ENSG00000100722,Gene Expression,GRCh38,910.0,ZC3H14,880
C1orf56,ENSG00000143443,Gene Expression,GRCh38,1930.0,C1orf56,1828
UBE2E3,ENSG00000170035,Gene Expression,GRCh38,1981.0,UBE2E3,1918
DPPA3,ENSG00000187569,Gene Expression,GRCh38,1.0,DPPA3,1
BTBD1,ENSG00000064726,Gene Expression,GRCh38,408.0,BTBD1,406
AC091132.5,ENSG00000267198,Gene Expression,GRCh38,21.0,AC091132.5,21
TRPC6,ENSG00000137672,Gene Expression,GRCh38,1.0,TRPC6,1
THOC1,ENSG00000079134,Gene Expression,GRCh38,404.0,THOC1,391
MAP3K2,ENSG00000169967,Gene Expression,GRCh38,1716.0,MAP3K2,1648
AL137067.1,ENSG00000271086,Gene Expression,GRCh38,0.0,AL137067.1,0
PPA2,ENSG00000138777,Gene Expression,GRCh38,687.0,PPA2,675
LINC01311,ENSG00000260924,Gene Expression,GRCh38,12.0,LINC01311,12
CYYR1-AS1,ENSG00000197934,Gene Expression,GRCh38,33.0,CYYR1-AS1,31
MEIOC,ENSG00000180336,Gene Expression,GRCh38,36.0,MEIOC,36
BPTF,ENSG00000171634,Gene Expression,GRCh38,3034.0,BPTF,2809
UBE2C,ENSG00000175063,Gene Expression,GRCh38,197.0,UBE2C,190
CYTH3,ENSG00000008256,Gene Expression,GRCh38,2015.0,CYTH3,1949
IZUMO1R,ENSG00000183560,Gene Expression,GRCh38,1.0,IZUMO1R,1
BTF3L4,ENSG00000134717,Gene Expression,GRCh38,2938.0,BTF3L4,2795
SLC23A2,ENSG00000089057,Gene Expression,GRCh38,3205.0,SLC23A2,3052
PLCXD3,ENSG00000182836,Gene Expression,GRCh38,14.0,PLCXD3,14
AL391069.1,ENSG00000224645,Gene Expression,GRCh38,0.0,AL391069.1,0
OR6F1,ENSG00000169214,Gene Expression,GRCh38,7.0,OR6F1,7
NCMAP,ENSG00000184454,Gene Expression,GRCh38,110.0,NCMAP,106
OR8A1,ENSG00000196119,Gene Expression,GRCh38,42.0,OR8A1,42
MOCS2,ENSG00000164172,Gene Expression,GRCh38,1225.0,MOCS2,1182
NAV2-AS2,ENSG00000254453,Gene Expression,GRCh38,289.0,NAV2-AS2,282
MRPL15,ENSG00000137547,Gene Expression,GRCh38,1643.0,MRPL15,1599
AC011443.1,ENSG00000269172,Gene Expression,GRCh38,1.0,AC011443.1,1
PXMP4,ENSG00000101417,Gene Expression,GRCh38,370.0,PXMP4,364
PPP1R16A,ENSG00000160972,Gene Expression,GRCh38,419.0,PPP1R16A,415
IRGQ,ENSG00000167378,Gene Expression,GRCh38,1016.0,IRGQ,974
CFAP97,ENSG00000164323,Gene Expression,GRCh38,2538.0,CFAP97,2352
TMEM100,ENSG00000166292,Gene Expression,GRCh38,1.0,TMEM100,1
SIN3B,ENSG00000127511,Gene Expression,GRCh38,3333.0,SIN3B,3073
GIPR,ENSG00000010310,Gene Expression,GRCh38,42.0,GIPR,41
RALGAPB,ENSG00000170471,Gene Expression,GRCh38,906.0,RALGAPB,887
AC093277.1,ENSG00000283286,Gene Expression,GRCh38,0.0,AC093277.1,0
AL121944.1,ENSG00000272009,Gene Expression,GRCh38,742.0,AL121944.1,707
SGSH,ENSG00000181523,Gene Expression,GRCh38,661.0,SGSH,647
MT3,ENSG00000087250,Gene Expression,GRCh38,1.0,MT3,1
DEPP1,ENSG00000165507,Gene Expression,GRCh38,3213.0,DEPP1,3033
AL360182.2,ENSG00000228417,Gene Expression,GRCh38,1.0,AL360182.2,1
RTEL1,ENSG00000258366,Gene Expression,GRCh38,3.0,RTEL1,3
ACRV1,ENSG00000134940,Gene Expression,GRCh38,1.0,ACRV1,1
AGBL1,ENSG00000273540,Gene Expression,GRCh38,6.0,AGBL1,6
SLC12A3,ENSG00000070915,Gene Expression,GRCh38,14.0,SLC12A3,14
MLLT6,ENSG00000275023,Gene Expression,GRCh38,1080.0,MLLT6,1064
MAP7D3,ENSG00000129680,Gene Expression,GRCh38,7820.0,MAP7D3,6690
CTSC,ENSG00000109861,Gene Expression,GRCh38,2659.0,CTSC,2536
L3MBTL2,ENSG00000100395,Gene Expression,GRCh38,631.0,L3MBTL2,613
ARID2,ENSG00000189079,Gene Expression,GRCh38,530.0,ARID2,512
CIRBP-AS1,ENSG00000267493,Gene Expression,GRCh38,22.0,CIRBP-AS1,22
ATXN1L,ENSG00000224470,Gene Expression,GRCh38,442.0,ATXN1L,432
ZYG11A,ENSG00000203995,Gene Expression,GRCh38,23.0,ZYG11A,22
ACKR3,ENSG00000144476,Gene Expression,GRCh38,45.0,ACKR3,44
GABRR2,ENSG00000111886,Gene Expression,GRCh38,0.0,GABRR2,0
CRISPLD1,ENSG00000121005,Gene Expression,GRCh38,194.0,CRISPLD1,193
