,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
AL450322.1,ENSG00000228353,Gene Expression,GRCh38,22,23.0,AL450322.1,22
COX7A2,ENSG00000112695,Gene Expression,GRCh38,5264,17899.0,COX7A2,5264
AATK,ENSG00000181409,Gene Expression,GRCh38,10,10.0,AATK,10
ARPC1A,ENSG00000241685,Gene Expression,GRCh38,3485,6382.0,ARPC1A,3485
ALG12,ENSG00000182858,Gene Expression,GRCh38,598,662.0,ALG12,598
LINC01354,ENSG00000231768,Gene Expression,GRCh38,5,5.0,LINC01354,5
TMEM14C,ENSG00000111843,Gene Expression,GRCh38,3092,5877.0,TMEM14C,3092
BMI1,ENSG00000168283,Gene Expression,GRCh38,1145,1406.0,BMI1,1145
VTI1B,ENSG00000100568,Gene Expression,GRCh38,3596,7300.0,VTI1B,3596
DDX11-AS1,ENSG00000245614,Gene Expression,GRCh38,9,9.0,DDX11-AS1,9
CKAP2,ENSG00000136108,Gene Expression,GRCh38,910,1144.0,CKAP2,910
A1BG,ENSG00000121410,Gene Expression,GRCh38,381,443.0,A1BG,381
LRRC32,ENSG00000137507,Gene Expression,GRCh38,1329,2407.0,LRRC32,1329
ARPC4,ENSG00000241553,Gene Expression,GRCh38,2934,5293.0,ARPC4,2934
SMG5,ENSG00000198952,Gene Expression,GRCh38,933,1050.0,SMG5,933
AHSA1,ENSG00000100591,Gene Expression,GRCh38,1342,1722.0,AHSA1,1342
MADCAM1,ENSG00000099866,Gene Expression,GRCh38,16,16.0,MADCAM1,16
GTSE1,ENSG00000075218,Gene Expression,GRCh38,97,131.0,GTSE1,97
TEX29,ENSG00000153495,Gene Expression,GRCh38,10,10.0,TEX29,10
PANO1,ENSG00000274897,Gene Expression,GRCh38,6,6.0,PANO1,6
TCAF2,ENSG00000170379,Gene Expression,GRCh38,561,650.0,TCAF2,561
TMEM163,ENSG00000152128,Gene Expression,GRCh38,11,13.0,TMEM163,11
THAP11,ENSG00000168286,Gene Expression,GRCh38,397,425.0,THAP11,397
MIA,ENSG00000261857,Gene Expression,GRCh38,3,3.0,MIA,3
TRIM21,ENSG00000132109,Gene Expression,GRCh38,819,948.0,TRIM21,819
CGB8,ENSG00000213030,Gene Expression,GRCh38,1158,2278.0,CGB8,1158
DUXA,ENSG00000258873,Gene Expression,GRCh38,8,8.0,DUXA,8
PDE1B,ENSG00000123360,Gene Expression,GRCh38,3,3.0,PDE1B,3
INPP1,ENSG00000151689,Gene Expression,GRCh38,486,609.0,INPP1,486
SLC30A1,ENSG00000170385,Gene Expression,GRCh38,902,1155.0,SLC30A1,902
FRAT1,ENSG00000165879,Gene Expression,GRCh38,134,157.0,FRAT1,134
RAB11B-AS1,ENSG00000269386,Gene Expression,GRCh38,652,785.0,RAB11B-AS1,652
SRBD1,ENSG00000068784,Gene Expression,GRCh38,687,755.0,SRBD1,687
PRRC1,ENSG00000164244,Gene Expression,GRCh38,2221,3106.0,PRRC1,2221
AC124319.2,ENSG00000263069,Gene Expression,GRCh38,77,85.0,AC124319.2,77
DLGAP1-AS2,ENSG00000262001,Gene Expression,GRCh38,87,91.0,DLGAP1-AS2,87
AC068756.1,ENSG00000242828,Gene Expression,GRCh38,21,21.0,AC068756.1,21
AP003559.1,ENSG00000256443,Gene Expression,GRCh38,7,7.0,AP003559.1,7
HSBP1L1,ENSG00000226742,Gene Expression,GRCh38,2536,4158.0,HSBP1L1,2536
TMEM178B,ENSG00000261115,Gene Expression,GRCh38,6,6.0,TMEM178B,6
EMG1-1,ENSG00000268439,Gene Expression,GRCh38,26,27.0,EMG1-1,26
USP35,ENSG00000118369,Gene Expression,GRCh38,134,140.0,USP35,134
ZNF768,ENSG00000169957,Gene Expression,GRCh38,351,365.0,ZNF768,351
SLC25A53,ENSG00000269743,Gene Expression,GRCh38,94,98.0,SLC25A53,94
AL109797.1,ENSG00000223714,Gene Expression,GRCh38,10,10.0,AL109797.1,10
IL7R,ENSG00000168685,Gene Expression,GRCh38,13,14.0,IL7R,13
CASP8,ENSG00000064012,Gene Expression,GRCh38,534,586.0,CASP8,534
CRAT,ENSG00000095321,Gene Expression,GRCh38,1230,1536.0,CRAT,1230
NDC1,ENSG00000058804,Gene Expression,GRCh38,328,347.0,NDC1,328
GLT8D1,ENSG00000016864,Gene Expression,GRCh38,1411,1861.0,GLT8D1,1411
LINC01943,ENSG00000280721,Gene Expression,GRCh38,34,35.0,LINC01943,34
RFFL,ENSG00000092871,Gene Expression,GRCh38,382,406.0,RFFL,382
ANGPTL4,ENSG00000167772,Gene Expression,GRCh38,2895,9352.0,ANGPTL4,2895
TNFSF10,ENSG00000121858,Gene Expression,GRCh38,2668,10750.0,TNFSF10,2668
PLCL2,ENSG00000154822,Gene Expression,GRCh38,1403,2004.0,PLCL2,1403
HIF1A-AS2,ENSG00000258667,Gene Expression,GRCh38,161,184.0,HIF1A-AS2,161
AC004466.1,ENSG00000268069,Gene Expression,GRCh38,6,6.0,AC004466.1,6
SHC1,ENSG00000160691,Gene Expression,GRCh38,2186,3088.0,SHC1,2186
NKAIN2,ENSG00000188580,Gene Expression,GRCh38,16,17.0,NKAIN2,16
TMEM25,ENSG00000149582,Gene Expression,GRCh38,1098,1349.0,TMEM25,1098
MYO18A,ENSG00000196535,Gene Expression,GRCh38,750,884.0,MYO18A,750
EFCAB6,ENSG00000186976,Gene Expression,GRCh38,3,3.0,EFCAB6,3
DDX49,ENSG00000105671,Gene Expression,GRCh38,946,1092.0,DDX49,946
ZBTB8B,ENSG00000273274,Gene Expression,GRCh38,39,40.0,ZBTB8B,39
COL2A1,ENSG00000139219,Gene Expression,GRCh38,19,19.0,COL2A1,19
ST6GALNAC5,ENSG00000117069,Gene Expression,GRCh38,8,8.0,ST6GALNAC5,8
IER3-AS1,ENSG00000272273,Gene Expression,GRCh38,17,17.0,IER3-AS1,17
CPSF1,ENSG00000071894,Gene Expression,GRCh38,447,465.0,CPSF1,447
RTL8B,ENSG00000212747,Gene Expression,GRCh38,959,1189.0,RTL8B,959
PLEKHA5,ENSG00000052126,Gene Expression,GRCh38,1973,2919.0,PLEKHA5,1973
Z82244.2,ENSG00000282602,Gene Expression,GRCh38,34,35.0,Z82244.2,34
LINC00887,ENSG00000214145,Gene Expression,GRCh38,14,14.0,LINC00887,14
OVOL2,ENSG00000125850,Gene Expression,GRCh38,69,70.0,OVOL2,69
CYP1B1-AS1,ENSG00000232973,Gene Expression,GRCh38,26,27.0,CYP1B1-AS1,26
AC097381.1,ENSG00000228919,Gene Expression,GRCh38,6,6.0,AC097381.1,6
ZBED9,ENSG00000232040,Gene Expression,GRCh38,209,215.0,ZBED9,209
S100A16,ENSG00000188643,Gene Expression,GRCh38,485,786.0,S100A16,485
STX3,ENSG00000166900,Gene Expression,GRCh38,1312,1706.0,STX3,1312
GLUL,ENSG00000135821,Gene Expression,GRCh38,4104,9034.0,GLUL,4104
SINHCAF,ENSG00000139146,Gene Expression,GRCh38,2668,4286.0,SINHCAF,2668
POU2F1,ENSG00000143190,Gene Expression,GRCh38,1228,1503.0,POU2F1,1228
TMEM97,ENSG00000109084,Gene Expression,GRCh38,736,878.0,TMEM97,736
TMEM259,ENSG00000182087,Gene Expression,GRCh38,2935,4688.0,TMEM259,2935
MEGF6,ENSG00000162591,Gene Expression,GRCh38,118,129.0,MEGF6,118
VTA1,ENSG00000009844,Gene Expression,GRCh38,1433,1770.0,VTA1,1433
ACVR2B-AS1,ENSG00000229589,Gene Expression,GRCh38,7,7.0,ACVR2B-AS1,7
AL157700.1,ENSG00000260118,Gene Expression,GRCh38,90,91.0,AL157700.1,90
AC091045.1,ENSG00000259536,Gene Expression,GRCh38,56,57.0,AC091045.1,56
DSCAS,ENSG00000265888,Gene Expression,GRCh38,7,7.0,DSCAS,7
AL022329.2,ENSG00000237387,Gene Expression,GRCh38,7,7.0,AL022329.2,7
RBM5,ENSG00000003756,Gene Expression,GRCh38,2384,3495.0,RBM5,2384
WDR24,ENSG00000127580,Gene Expression,GRCh38,245,255.0,WDR24,245
AC060766.4,ENSG00000267547,Gene Expression,GRCh38,23,23.0,AC060766.4,23
MPP7,ENSG00000150054,Gene Expression,GRCh38,387,475.0,MPP7,387
CTSV,ENSG00000136943,Gene Expression,GRCh38,1769,2778.0,CTSV,1769
AL139339.1,ENSG00000234699,Gene Expression,GRCh38,33,33.0,AL139339.1,33
KATNA1,ENSG00000186625,Gene Expression,GRCh38,701,802.0,KATNA1,701
ASGR1,ENSG00000141505,Gene Expression,GRCh38,39,42.0,ASGR1,39
RAB38,ENSG00000123892,Gene Expression,GRCh38,234,258.0,RAB38,234
KCNJ5,ENSG00000120457,Gene Expression,GRCh38,68,69.0,KCNJ5,68
GPD1,ENSG00000167588,Gene Expression,GRCh38,3,3.0,GPD1,3
FAXDC2,ENSG00000170271,Gene Expression,GRCh38,25,26.0,FAXDC2,25
RIOX1,ENSG00000170468,Gene Expression,GRCh38,231,240.0,RIOX1,231
USP30,ENSG00000135093,Gene Expression,GRCh38,272,285.0,USP30,272
TPP2,ENSG00000134900,Gene Expression,GRCh38,2041,2998.0,TPP2,2041
KCNJ2-AS1,ENSG00000267365,Gene Expression,GRCh38,27,32.0,KCNJ2-AS1,27
KBTBD8,ENSG00000163376,Gene Expression,GRCh38,175,191.0,KBTBD8,175
FAM234B,ENSG00000084444,Gene Expression,GRCh38,332,363.0,FAM234B,332
AC068025.1,ENSG00000264808,Gene Expression,GRCh38,7,7.0,AC068025.1,7
PPM1B,ENSG00000138032,Gene Expression,GRCh38,1198,1558.0,PPM1B,1198
PTPN4,ENSG00000088179,Gene Expression,GRCh38,441,487.0,PTPN4,441
AL049794.1,ENSG00000273998,Gene Expression,GRCh38,6,6.0,AL049794.1,6
ZMYM3,ENSG00000147130,Gene Expression,GRCh38,515,557.0,ZMYM3,515
INHBA,ENSG00000122641,Gene Expression,GRCh38,2636,9552.0,INHBA,2636
LPIN3,ENSG00000132793,Gene Expression,GRCh38,505,554.0,LPIN3,505
RGS5,ENSG00000143248,Gene Expression,GRCh38,14,14.0,RGS5,14
COMMD6,ENSG00000188243,Gene Expression,GRCh38,5142,15958.0,COMMD6,5142
AC020915.1,ENSG00000267216,Gene Expression,GRCh38,24,24.0,AC020915.1,24
MAPK8,ENSG00000107643,Gene Expression,GRCh38,499,556.0,MAPK8,499
CPM,ENSG00000135678,Gene Expression,GRCh38,3713,11747.0,CPM,3713
CNN3,ENSG00000117519,Gene Expression,GRCh38,2004,3713.0,CNN3,2004
AC009812.1,ENSG00000251867,Gene Expression,GRCh38,105,113.0,AC009812.1,105
SLC38A7,ENSG00000103042,Gene Expression,GRCh38,433,482.0,SLC38A7,433
AP002907.1,ENSG00000272037,Gene Expression,GRCh38,5,5.0,AP002907.1,5
PATJ,ENSG00000132849,Gene Expression,GRCh38,246,299.0,PATJ,246
CSGALNACT2,ENSG00000169826,Gene Expression,GRCh38,651,800.0,CSGALNACT2,651
TMUB2,ENSG00000168591,Gene Expression,GRCh38,1065,1241.0,TMUB2,1065
DACT3,ENSG00000197380,Gene Expression,GRCh38,196,341.0,DACT3,196
LAIR2,ENSG00000167618,Gene Expression,GRCh38,6,8.0,LAIR2,6
LAMB3,ENSG00000196878,Gene Expression,GRCh38,162,206.0,LAMB3,162
MPDU1,ENSG00000129255,Gene Expression,GRCh38,959,1163.0,MPDU1,959
SLC16A12,ENSG00000152779,Gene Expression,GRCh38,124,162.0,SLC16A12,124
ADIRF,ENSG00000148671,Gene Expression,GRCh38,793,1507.0,ADIRF,793
RPAP3,ENSG00000005175,Gene Expression,GRCh38,1076,1249.0,RPAP3,1076
PRIM2,ENSG00000146143,Gene Expression,GRCh38,375,403.0,PRIM2,375
SPATA20,ENSG00000006282,Gene Expression,GRCh38,438,479.0,SPATA20,438
DCP2,ENSG00000172795,Gene Expression,GRCh38,3419,5762.0,DCP2,3419
NEK3,ENSG00000136098,Gene Expression,GRCh38,513,586.0,NEK3,513
AL117332.1,ENSG00000275457,Gene Expression,GRCh38,38,39.0,AL117332.1,38
LGMN,ENSG00000100600,Gene Expression,GRCh38,3837,10448.0,LGMN,3837
AC010864.1,ENSG00000273008,Gene Expression,GRCh38,9,10.0,AC010864.1,9
PIBF1,ENSG00000083535,Gene Expression,GRCh38,661,734.0,PIBF1,661
VSTM2L,ENSG00000132821,Gene Expression,GRCh38,38,42.0,VSTM2L,38
AS3MT,ENSG00000214435,Gene Expression,GRCh38,3,3.0,AS3MT,3
ATP13A4,ENSG00000127249,Gene Expression,GRCh38,51,53.0,ATP13A4,51
IFITM10,ENSG00000244242,Gene Expression,GRCh38,5,5.0,IFITM10,5
STRN4,ENSG00000090372,Gene Expression,GRCh38,1053,1224.0,STRN4,1053
METTL4,ENSG00000101574,Gene Expression,GRCh38,413,453.0,METTL4,413
AC097534.2,ENSG00000272870,Gene Expression,GRCh38,127,135.0,AC097534.2,127
MANSC1,ENSG00000111261,Gene Expression,GRCh38,459,506.0,MANSC1,459
DOK5,ENSG00000101134,Gene Expression,GRCh38,4,4.0,DOK5,4
HVCN1,ENSG00000122986,Gene Expression,GRCh38,35,39.0,HVCN1,35
C2orf74,ENSG00000237651,Gene Expression,GRCh38,684,791.0,C2orf74,684
PDIA6,ENSG00000143870,Gene Expression,GRCh38,6633,40492.0,PDIA6,6633
NEK6,ENSG00000119408,Gene Expression,GRCh38,1592,2048.0,NEK6,1592
CCNJ,ENSG00000107443,Gene Expression,GRCh38,158,167.0,CCNJ,158
AP001351.1,ENSG00000248027,Gene Expression,GRCh38,4,4.0,AP001351.1,4
PRR4,ENSG00000111215,Gene Expression,GRCh38,9,9.0,PRR4,9
AJUBA,ENSG00000129474,Gene Expression,GRCh38,275,292.0,AJUBA,275
P2RY13,ENSG00000181631,Gene Expression,GRCh38,8,8.0,P2RY13,8
FAM209A,ENSG00000124103,Gene Expression,GRCh38,11,11.0,FAM209A,11
FASTK,ENSG00000164896,Gene Expression,GRCh38,1162,1355.0,FASTK,1162
AC079336.5,ENSG00000266718,Gene Expression,GRCh38,8,8.0,AC079336.5,8
AC002470.1,ENSG00000272829,Gene Expression,GRCh38,28,29.0,AC002470.1,28
DNAAF1,ENSG00000154099,Gene Expression,GRCh38,34,64.0,DNAAF1,34
NKIRAS1,ENSG00000197885,Gene Expression,GRCh38,286,319.0,NKIRAS1,286
AC079610.2,ENSG00000270659,Gene Expression,GRCh38,14,14.0,AC079610.2,14
EXOC3-AS1,ENSG00000221990,Gene Expression,GRCh38,112,116.0,EXOC3-AS1,112
B4GALT2,ENSG00000117411,Gene Expression,GRCh38,342,368.0,B4GALT2,342
PILRA,ENSG00000085514,Gene Expression,GRCh38,31,32.0,PILRA,31
TBC1D8B,ENSG00000133138,Gene Expression,GRCh38,495,534.0,TBC1D8B,495
AC012065.3,ENSG00000269976,Gene Expression,GRCh38,7,7.0,AC012065.3,7
KLHL23,ENSG00000213160,Gene Expression,GRCh38,187,200.0,KLHL23,187
NOS1,ENSG00000089250,Gene Expression,GRCh38,4,4.0,NOS1,4
MAP3K7,ENSG00000135341,Gene Expression,GRCh38,1167,1361.0,MAP3K7,1167
FBRSL1,ENSG00000112787,Gene Expression,GRCh38,1600,2029.0,FBRSL1,1600
TTC26,ENSG00000105948,Gene Expression,GRCh38,93,94.0,TTC26,93
NSD2,ENSG00000109685,Gene Expression,GRCh38,251,276.0,NSD2,251
AL162377.1,ENSG00000231856,Gene Expression,GRCh38,61,61.0,AL162377.1,61
AC008393.1,ENSG00000245317,Gene Expression,GRCh38,64,70.0,AC008393.1,64
PTPRD,ENSG00000153707,Gene Expression,GRCh38,4,5.0,PTPRD,4
SEPT4,ENSG00000108387,Gene Expression,GRCh38,17,18.0,SEPT4,17
IGHA1,ENSG00000211895,Gene Expression,GRCh38,385,476.0,IGHA1,385
COA1,ENSG00000106603,Gene Expression,GRCh38,1091,1299.0,COA1,1091
CPEB2,ENSG00000137449,Gene Expression,GRCh38,618,723.0,CPEB2,618
ZNF460,ENSG00000197714,Gene Expression,GRCh38,258,270.0,ZNF460,258
SKI,ENSG00000157933,Gene Expression,GRCh38,326,344.0,SKI,326
TUBE1,ENSG00000074935,Gene Expression,GRCh38,406,432.0,TUBE1,406
SIDT1,ENSG00000072858,Gene Expression,GRCh38,4,4.0,SIDT1,4
AC007686.3,ENSG00000273729,Gene Expression,GRCh38,44,45.0,AC007686.3,44
FBXL4,ENSG00000112234,Gene Expression,GRCh38,628,675.0,FBXL4,628
LINC00607,ENSG00000235770,Gene Expression,GRCh38,12,12.0,LINC00607,12
WDR13,ENSG00000101940,Gene Expression,GRCh38,1341,1614.0,WDR13,1341
CLPB,ENSG00000162129,Gene Expression,GRCh38,907,1053.0,CLPB,907
AC073320.1,ENSG00000244036,Gene Expression,GRCh38,22,22.0,AC073320.1,22
AC018797.2,ENSG00000246560,Gene Expression,GRCh38,118,126.0,AC018797.2,118
NPR2,ENSG00000159899,Gene Expression,GRCh38,110,115.0,NPR2,110
AL161772.1,ENSG00000278291,Gene Expression,GRCh38,1090,1365.0,AL161772.1,1090
ECI2,ENSG00000198721,Gene Expression,GRCh38,1051,1291.0,ECI2,1051
TMEM247,ENSG00000284701,Gene Expression,GRCh38,141,157.0,TMEM247,141
ZNFX1,ENSG00000124201,Gene Expression,GRCh38,1158,1478.0,ZNFX1,1158
TMEM17,ENSG00000186889,Gene Expression,GRCh38,69,69.0,TMEM17,69
OTUD7B,ENSG00000264522,Gene Expression,GRCh38,1027,1218.0,OTUD7B,1027
AC024257.3,ENSG00000269514,Gene Expression,GRCh38,4,5.0,AC024257.3,4
NT5DC3,ENSG00000111696,Gene Expression,GRCh38,742,854.0,NT5DC3,742
HDAC4,ENSG00000068024,Gene Expression,GRCh38,184,192.0,HDAC4,184
C9orf43,ENSG00000157653,Gene Expression,GRCh38,14,14.0,C9orf43,14
AC087280.2,ENSG00000283415,Gene Expression,GRCh38,9,9.0,AC087280.2,9
NEIL3,ENSG00000109674,Gene Expression,GRCh38,22,25.0,NEIL3,22
CD59,ENSG00000085063,Gene Expression,GRCh38,3926,8953.0,CD59,3926
EDEM2,ENSG00000088298,Gene Expression,GRCh38,3033,6358.0,EDEM2,3033
BTBD19,ENSG00000222009,Gene Expression,GRCh38,145,158.0,BTBD19,145
PEF1,ENSG00000162517,Gene Expression,GRCh38,1152,1383.0,PEF1,1152
THUMPD3-AS1,ENSG00000206573,Gene Expression,GRCh38,1309,1712.0,THUMPD3-AS1,1309
AL138720.1,ENSG00000234261,Gene Expression,GRCh38,31,31.0,AL138720.1,31
DNAJC9-AS1,ENSG00000236756,Gene Expression,GRCh38,12,12.0,DNAJC9-AS1,12
AP4S1,ENSG00000100478,Gene Expression,GRCh38,116,116.0,AP4S1,116
CNTNAP3B,ENSG00000154529,Gene Expression,GRCh38,93,95.0,CNTNAP3B,93
AL356441.1,ENSG00000236206,Gene Expression,GRCh38,17,17.0,AL356441.1,17
SLC26A7,ENSG00000147606,Gene Expression,GRCh38,126,147.0,SLC26A7,126
ZNF592,ENSG00000166716,Gene Expression,GRCh38,657,719.0,ZNF592,657
PLIN1,ENSG00000166819,Gene Expression,GRCh38,10,10.0,PLIN1,10
ABCG1,ENSG00000160179,Gene Expression,GRCh38,58,65.0,ABCG1,58
PSG6,ENSG00000170848,Gene Expression,GRCh38,4229,11661.0,PSG6,4229
CLRN1-AS1,ENSG00000239265,Gene Expression,GRCh38,3,3.0,CLRN1-AS1,3
ZSCAN12,ENSG00000158691,Gene Expression,GRCh38,75,75.0,ZSCAN12,75
AGTR1,ENSG00000144891,Gene Expression,GRCh38,156,261.0,AGTR1,156
BRPF3,ENSG00000096070,Gene Expression,GRCh38,568,633.0,BRPF3,568
ZNF292,ENSG00000188994,Gene Expression,GRCh38,3654,8642.0,ZNF292,3654
RBBP9,ENSG00000089050,Gene Expression,GRCh38,187,193.0,RBBP9,187
HIST1H3F,ENSG00000277775,Gene Expression,GRCh38,14,16.0,HIST1H3F,14
PRSS23,ENSG00000150687,Gene Expression,GRCh38,83,110.0,PRSS23,83
AC023509.2,ENSG00000257550,Gene Expression,GRCh38,47,47.0,AC023509.2,47
AC008741.2,ENSG00000274925,Gene Expression,GRCh38,123,127.0,AC008741.2,123
TMEM220,ENSG00000187824,Gene Expression,GRCh38,293,321.0,TMEM220,293
URM1,ENSG00000167118,Gene Expression,GRCh38,1225,1439.0,URM1,1225
USP32,ENSG00000170832,Gene Expression,GRCh38,615,690.0,USP32,615
IRX2,ENSG00000170561,Gene Expression,GRCh38,2022,3591.0,IRX2,2022
PSD4,ENSG00000125637,Gene Expression,GRCh38,1305,1655.0,PSD4,1305
TEX22,ENSG00000226174,Gene Expression,GRCh38,13,13.0,TEX22,13
GDAP2,ENSG00000196505,Gene Expression,GRCh38,603,658.0,GDAP2,603
ZDHHC12,ENSG00000160446,Gene Expression,GRCh38,2869,4926.0,ZDHHC12,2869
BUB1B,ENSG00000156970,Gene Expression,GRCh38,45,66.0,BUB1B,45
FAXC,ENSG00000146267,Gene Expression,GRCh38,22,22.0,FAXC,22
EPS8L1,ENSG00000131037,Gene Expression,GRCh38,3012,6078.0,EPS8L1,3012
AL157392.1,ENSG00000225112,Gene Expression,GRCh38,3,3.0,AL157392.1,3
MBD4,ENSG00000129071,Gene Expression,GRCh38,1308,1592.0,MBD4,1308
DNAL1,ENSG00000119661,Gene Expression,GRCh38,393,422.0,DNAL1,393
C9orf84,ENSG00000165181,Gene Expression,GRCh38,9,9.0,C9orf84,9
LNX1-AS1,ENSG00000250930,Gene Expression,GRCh38,28,30.0,LNX1-AS1,28
DDX3X,ENSG00000215301,Gene Expression,GRCh38,5086,11684.0,DDX3X,5086
MRGBP,ENSG00000101189,Gene Expression,GRCh38,739,844.0,MRGBP,739
IRAK1BP1,ENSG00000146243,Gene Expression,GRCh38,75,77.0,IRAK1BP1,75
SCARB1,ENSG00000073060,Gene Expression,GRCh38,1602,2262.0,SCARB1,1602
SDR42E2,ENSG00000183921,Gene Expression,GRCh38,30,30.0,SDR42E2,30
ETV1,ENSG00000006468,Gene Expression,GRCh38,22,25.0,ETV1,22
TBC1D5,ENSG00000131374,Gene Expression,GRCh38,1267,1559.0,TBC1D5,1267
FAM83D,ENSG00000101447,Gene Expression,GRCh38,902,2008.0,FAM83D,902
PNPLA8,ENSG00000135241,Gene Expression,GRCh38,1972,2697.0,PNPLA8,1972
CDK16,ENSG00000102225,Gene Expression,GRCh38,1347,1609.0,CDK16,1347
UPK1A,ENSG00000105668,Gene Expression,GRCh38,31,32.0,UPK1A,31
SCEL,ENSG00000136155,Gene Expression,GRCh38,31,32.0,SCEL,31
AL391422.3,ENSG00000270504,Gene Expression,GRCh38,526,586.0,AL391422.3,526
IMPDH2,ENSG00000178035,Gene Expression,GRCh38,2172,3124.0,IMPDH2,2172
LINGO2,ENSG00000174482,Gene Expression,GRCh38,43,46.0,LINGO2,43
PIGO,ENSG00000165282,Gene Expression,GRCh38,530,590.0,PIGO,530
ATG12,ENSG00000145782,Gene Expression,GRCh38,3285,5814.0,ATG12,3285
LMCD1-AS1,ENSG00000227110,Gene Expression,GRCh38,25,25.0,LMCD1-AS1,25
CLEC9A,ENSG00000197992,Gene Expression,GRCh38,9,10.0,CLEC9A,9
LRRC59,ENSG00000108829,Gene Expression,GRCh38,2717,4345.0,LRRC59,2717
SRP14-AS1,ENSG00000248508,Gene Expression,GRCh38,154,160.0,SRP14-AS1,154
BIN1,ENSG00000136717,Gene Expression,GRCh38,14,14.0,BIN1,14
TRAPPC8,ENSG00000153339,Gene Expression,GRCh38,742,821.0,TRAPPC8,742
ZNF670,ENSG00000277462,Gene Expression,GRCh38,198,210.0,ZNF670,198
C20orf27,ENSG00000101220,Gene Expression,GRCh38,742,872.0,C20orf27,742
OAF,ENSG00000184232,Gene Expression,GRCh38,290,471.0,OAF,290
GP1BA,ENSG00000185245,Gene Expression,GRCh38,29,29.0,GP1BA,29
HMGA1,ENSG00000137309,Gene Expression,GRCh38,1306,1950.0,HMGA1,1306
AP001029.2,ENSG00000267199,Gene Expression,GRCh38,3,3.0,AP001029.2,3
PTCD3,ENSG00000132300,Gene Expression,GRCh38,1089,1298.0,PTCD3,1089
AREL1,ENSG00000119682,Gene Expression,GRCh38,477,510.0,AREL1,477
SNRNP27,ENSG00000124380,Gene Expression,GRCh38,2419,3772.0,SNRNP27,2419
AC012603.1,ENSG00000271849,Gene Expression,GRCh38,14,14.0,AC012603.1,14
PLXNB1,ENSG00000164050,Gene Expression,GRCh38,423,463.0,PLXNB1,423
GPR180,ENSG00000152749,Gene Expression,GRCh38,1185,1613.0,GPR180,1185
HAS1,ENSG00000105509,Gene Expression,GRCh38,8,8.0,HAS1,8
RPL23A,ENSG00000198242,Gene Expression,GRCh38,8518,86640.0,RPL23A,8518
AC023051.1,ENSG00000234428,Gene Expression,GRCh38,3,3.0,AC023051.1,3
AC023157.3,ENSG00000276900,Gene Expression,GRCh38,124,145.0,AC023157.3,124
FUT1,ENSG00000174951,Gene Expression,GRCh38,6,6.0,FUT1,6
AC015688.6,ENSG00000266872,Gene Expression,GRCh38,11,11.0,AC015688.6,11
TMEM183A,ENSG00000163444,Gene Expression,GRCh38,1309,1606.0,TMEM183A,1309
MAP1A,ENSG00000166963,Gene Expression,GRCh38,55,62.0,MAP1A,55
UQCC1,ENSG00000101019,Gene Expression,GRCh38,295,307.0,UQCC1,295
ACSS3,ENSG00000111058,Gene Expression,GRCh38,98,100.0,ACSS3,98
CFAP298,ENSG00000159079,Gene Expression,GRCh38,1368,1681.0,CFAP298,1368
DEDD2,ENSG00000160570,Gene Expression,GRCh38,901,1031.0,DEDD2,901
RHOA,ENSG00000067560,Gene Expression,GRCh38,5177,14869.0,RHOA,5177
TTI2,ENSG00000129696,Gene Expression,GRCh38,546,600.0,TTI2,546
ERF,ENSG00000105722,Gene Expression,GRCh38,236,253.0,ERF,236
PATL2,ENSG00000229474,Gene Expression,GRCh38,55,57.0,PATL2,55
CYP2J2,ENSG00000134716,Gene Expression,GRCh38,809,1035.0,CYP2J2,809
GRAP,ENSG00000154016,Gene Expression,GRCh38,40,42.0,GRAP,40
GPS1,ENSG00000169727,Gene Expression,GRCh38,1070,1268.0,GPS1,1070
RWDD4,ENSG00000182552,Gene Expression,GRCh38,1182,1425.0,RWDD4,1182
FBLN1,ENSG00000077942,Gene Expression,GRCh38,9439,129796.0,FBLN1,9439
P4HA1,ENSG00000122884,Gene Expression,GRCh38,3867,10812.0,P4HA1,3867
MAP3K7CL,ENSG00000156265,Gene Expression,GRCh38,70,70.0,MAP3K7CL,70
AC008764.8,ENSG00000279529,Gene Expression,GRCh38,43,43.0,AC008764.8,43
PARD6A,ENSG00000102981,Gene Expression,GRCh38,43,43.0,PARD6A,43
AC004233.2,ENSG00000270168,Gene Expression,GRCh38,6,6.0,AC004233.2,6
MIR1-1HG-AS1,ENSG00000174403,Gene Expression,GRCh38,6,6.0,MIR1-1HG-AS1,6
CR381653.1,ENSG00000278932,Gene Expression,GRCh38,188,194.0,CR381653.1,188
ZNF414,ENSG00000133250,Gene Expression,GRCh38,496,523.0,ZNF414,496
DPY19L4,ENSG00000156162,Gene Expression,GRCh38,857,982.0,DPY19L4,857
C1QTNF7,ENSG00000163145,Gene Expression,GRCh38,41,42.0,C1QTNF7,41
AP1S3,ENSG00000152056,Gene Expression,GRCh38,80,86.0,AP1S3,80
NISCH,ENSG00000010322,Gene Expression,GRCh38,1683,2184.0,NISCH,1683
ST6GAL1,ENSG00000073849,Gene Expression,GRCh38,24,24.0,ST6GAL1,24
PDE6H,ENSG00000139053,Gene Expression,GRCh38,3367,10961.0,PDE6H,3367
ZNF324,ENSG00000083812,Gene Expression,GRCh38,164,166.0,ZNF324,164
